Id,Password,Name,Gender,Views,Purchases,Preferences
30,5741,Kiyoko,female,18;44;14;24;33;85;95;26;21;36;25;93;43;12;62;42;75;61,44;75;26;25;14;18,none
31,7615,Lilliana,female,29;64;33;2;47;97;22;44;90;5;31;45;53;62;6,90;29;64;53;97;33;47;22;45,none
32,7596,Wilmer,male,49;37;48;79;71;5;97;46;72;69;14;18;59;67;74;75;27;96;89;70;15;81;35;95;55,97;79;46;89;75,none
33,4146,Jeanne,female,81,none
34,8331,Samir,male,99;97;74;51;28;55;12;9;54;96;84;1;46,97;9;84;99;12;55;74;51;1;96;28,none
35,6159,Cheryle,female,63;46;88;58;92;47;27;21;24;77;26;10;85;87;8;59;54;53;40;16;56,63;58;27;8;87,none
36,8304,Yasmeen,female,35;87;55;73;18;53;10;48;50;60;62;27;24;80;1;0,24;35,none
37,5584,Leander,male,43;49;26;6;65;37;1;45;81,6;45;26;1,none
38,2588,Galen,male,37;92;86;93;15;14;40;12;80;55;11;96,92;40,none
39,2442,Brenna,female,47;77;68;35;21;29;26;88,none
40,6990,Bonnie,male,94;38;95;43;63;14;25,94;38;95;43;63,none
41,6044,Jeri,female,69;54;91;76,69;91;54,none
42,3361,Libby,female,28;18;60;47;44;16;71;64;14;87;92;57;45;99;85;69;52;80;68;97,60;80;99;18;87;45;71;16;68;44;92,none
43,7198,Halley,male,95;11;29,none
44,9968,Lidia,female,56;61;13;87;31;68;16;89;82;25;37;72;32;38;67;26;96;57;6;81,32;38;57;87;56;89;16;67;6;61;26;72;96;37;68;31;13;82;25,none
45,5167,Oswaldo,male,7;23;35;27;24;95;91;34;0;37;55;80,55;24;27;91;35;34;0;37,none
46,6157,Cayden,male,84;21;82;12;5,84;82;21,none
47,1454,Toivo,male,57;52;67;39;42;40;6;43;54;51;36;80;17;74;71;41;96;8;81;45;62;58,52;41;17;36;51;57;43;45;81;62;42;54;39;8,none
48,6636,Ieshia,female,37;30;75;53;58;84;50;8;34;23;99;81;72;71;38;40;14;93;55;70;73,70;50;53;55;38;99;84;34;93;75;30;8;40;37;71;58;14;23;81;72,none
49,7940,Orvis,male,26,none
50,2976,Retha,female,45;24;15;71;94;90;65;67;97;21;50;68;6,67;65,none
51,1653,Karyme,female,56;71,56,none
52,1483,Mathilda,female,90,none
53,2292,Madisyn,female,84;30;44;99;98;95;53;40;76;60;32,40;30;60;95;53;76;84;44,none
54,1747,Marleen,female,78;53;57;10;34;49;28;20;12;83;35;0;25;68;55;91;27;5;13;47;24;85;1;18;88,10;18;25;13;1;49;47;78;83;0;35;53;91;85,none
55,3100,Eldon,male,35;51;41;76;85;60;39;50;30;29;67;13;9;57;98;73;2,none
56,1485,Celina,female,68;25;48;40;83;44;91;59;84;9;65;2,44;9,none
57,1626,Elijah,male,33;69;58;13;10;66;50;43;20,50;33;69,none
58,3501,Kaley,female,68;97;75;84;49,75;84;97,none
59,3013,Terrell,male,47;94;69;80;46;54;31;87;77;89;19;22;4;96;51;50;73;53;5,53,none
60,8700,Lavina,female,36;96;15;62;69;61;60;59;4;53,15;4;59;69;96,none
61,7888,Raven,male,59;68;0;32;10;60;21;97;83;81;49,21,none
62,6686,Maeve,female,14;66;6;5;89;46;82;65;33;55;10;22;1,33;89;66;55;10;46;6;14,none
63,7917,Mollie,female,90;52;88;7;12,7,none
64,9965,Nathanael,male,95;94;81;43;46;0;33;93;18;10;26;47;87;62,none
65,1498,Javonte,male,70;4;55;99;74;86;45;31;38;43;95;91;77;54;35;65;34;5;44,none
66,8970,Shanae,female,32;19;91;74;33;36;5;79;90,74,none
67,3255,Zadie,female,98;31;67;91;72;51;1;40;93;35;86;15;6;66;84;87;60;8;63;92;29;23;22;19;85,98;22;87;63;66;60;40;8;51;84;6;72;93;35;92;23;19;86;1;29;31;91;67,none
68,2045,Fredric,male,85,none
69,1757,Inez,female,88;51;93;78;70;7;38;64;71;99;20;15,71;64;99;51;88;70;38;78;20;7,none
70,5541,Zeke,male,22;0;26;98;47;24;9;51;41;23;42;10;86;56;74,86;41;47;24;23;9,none
71,5782,Mcarthur,male,32;15;99;2;31;8,99;15,none
72,1607,Tricia,female,31;61;37;8;35;45;96;76;99;65;1;79;89,37;96;76;31;35,none
73,3936,Kellan,male,55,none
74,9403,Chasity,female,5;4;92;90;41;94,5;90;41;4,none
75,6019,Signe,female,30;2;91;39;40;10;67;64;14;94;21;78;49;11;54;88;41;61;92,39;11;64;14;67;21;10;88,none
76,5105,Dominic,male,77;42;14;58;24;92;10;63;49;32,58,none
77,8554,Shirlie,female,72;20;12;36;45;70;58;66;10;43;83;51;4;48;46;90;38;30;21,46;48;45;38;83;43;72;66;30;51;90;70;20;36;58;12,none
78,5190,Knox,male,28;29;12;58;82;50;80;10;34;0;89;14;68;54;22;21;1;86;4;26;13;93;72;66,34;28;50;14;80;1;54;93,none
79,3011,Aleah,female,5;79;97;77;3;25;64;39;23;93;34;11;42;92;80,23;93;3;39;42;5;34;77;25;64;92;11,none
80,1025,Crockett,male,39;75;8;85;38;48;64;19;28;52;73;90;21;99;63;46;13;49,13;19;85;64;73;99;8;46;90,none
81,9315,Dwyane,male,83;55;39;80;85;61;70;51;34;17;15;89;74;40;31,70;61;34;80;39;40;85;15;89;74;17,none
82,8695,Angeles,female,40;25;97;33;92;51;77;55;52;1;63;19;80;20;13;99;72,40,none
83,6689,Noemi,female,9;42;87;47;22;3;33;89;21;52;24;55;39;50;74;59;4;11,89;9;21;4;24;52;33;87;39;42;59;55;22;50,none
84,7417,Fay,male,39;4;91;97;52;93;95;14;42;35;28;36;80;86;21;32;19;9;40;67;30,52;36;97;91;80;35;95;42;19;40,none
85,4033,Clarabelle,female,21;8;14;52;11;34;70;16;33;87;29;67;77;91;13;63;81;98;97;17;39;57;42,81;67;17;63;52;33;34;21;70;91;29,none
86,1729,Giovani,male,47,none
87,2628,Lara,female,15;42;3;73;10;72;92;84,92,none
88,5445,Savanna,female,61;37;74;79;12;16;21;72;22;89;38;18;31;77;51,21;89;72;37;74;77;12;18;79;22;38,none
89,4575,Lissie,female,37;66;49;35;51;17;91;34;12;97;1;27;8,none
90,5495,Idabelle,female,64;41;90;54;89;78;73;58;77;35;18;59;85;55;1;26;68;39;81;99;48,35;64;89;1;54;18;26,none
91,5120,Hobson,male,50;96,50,none
92,1356,Alonza,male,0;23,0,none
93,2667,Daisy,male,94;57;84;68;21;25;99;17;15;54,none
94,6507,Augustine,male,96;26;44;39;62;98,39;62;44,none
95,6267,Parrish,male,48;45;16;58;42;10;23;53;91;36;66;99;75;63,75;45;42;58;10,none
96,2350,Maura,female,34;28;19;42;3;78;31;44;22,19;34;31;44;28;78,none
97,8410,Mohammad,male,87;6;14;99;74;52;64;92;30;4;70;63;24;51;77;49;10;83;94;67;33,99;94;83;64,none
98,6920,Dayna,female,79;88;32;37;72;25;95;92;83;65;9;13;62;77;98;96;53;1;87,none
99,8355,Hence,male,3,none
100,2638,Dashawn,male,54;99;16;79;58,79;99;16,none
101,2216,Marisela,female,66;26;31;60;71,31;66;60;26,none
102,5814,Johan,male,95;10;8;76;6;88;4;26;2;48;80;25;67;5;82;86;74;14;53;29,14;82;74;48;10;95,none
103,8141,Rosalia,female,18;17;26,17,none
104,5122,Lucero,female,3;80;25;32;13;69;14;58;70;65;91;5;6;82;63,69,none
105,7693,Jake,male,72;47;80;25;71;11;63;13,71;80;25,none
106,2536,Keion,male,67;16;94;24,67,none
107,9705,Martina,female,52;97;46;35;21;2;44;49;29;22;5;80;85;18;42;8;61;4;14,61;44;22;8;46;4;5,none
108,1523,Kenny,male,59;99;29;2;81,59;2,none
109,6654,Ean,male,70;98,none
110,6101,Cielo,female,97;20;0;37;53;38;28;91,28;20;53;0,none
111,2992,Hasan,male,1;19;21;61;98;83;47;27;32;64,1;47;21;61;19;27,none
112,4204,Young,male,95;93;18;44,93,none
113,9864,Thompson,male,33;51;19;10;50;38;58;99;37;35;20;91;42;81;75;71;92;80;95;43;85;6;1;69,92;71;99;43;75;38;85;37;10;1;6;58;50;35;81;20;19;80;42;33;51,none
114,8773,Trish,female,23;84;8;92;89;45;73;50,73;45;89;8;23;84;92,none
115,6662,Buddie,male,56;97;16;81;57;54;85;99;59;20;0;23;35;58;82;36;30;66;62;1;92;84;26;86,16;20;56;23;81;59;97;26;85;30;0;82;35,none
116,5681,Rodolfo,male,99;60;49;19;14;87;28;71;38;45;69;97;65;62;58;47;30;81;26,38;14;47;45;58;97;30;81;49;60;19;71;99;69;87,none
117,9200,Giada,female,13;95;2;57;31;26;78,95;26;13;31;57;2,none
118,5804,Elia,female,30,none
119,1049,Dove,female,8;81;88;21;98;28,8,none
120,8302,Paul,male,97;26,none
121,3505,Kaeden,male,53;57;66;86;47,57,none
122,9801,Porter,male,16;13;77;65,13,none
123,7115,Flossie,female,69;44;8;71;16;45;81;75;82;64,none
124,6150,Suzann,female,38;40;4;85;70;77;57;50;9;90;11;32;36;89;86;99;3;30;91;73;63;52;45,90;57;77;52;63,none
125,6321,Quiana,female,33;2;80;95;58;57;97;63;13;69;36;86;1;26;64;47;75;5;89;38;44;30;49;46;51,49,none
126,6785,Tatia,female,34;67;16;14;36;99;85;69,99;67;34;14;85;36,none
127,5503,Tai,female,99,none
128,1006,Gwen,female,78;96;51;43;84;46,84;51;96;78;43,none
129,1968,Darl,male,36;37;68;11;63;75;2;8;74;81;23;30,23;81;2;8;68,none
130,3053,Rhea,female,0;29;25;45,29;0,none
131,4363,Norton,male,59;70;41;90;73;13;9;1;82;84;3;66;57;92;4;55;32;67,55;13;57;73;84;41;92;9;32;82;70;59;66,none
132,5060,Davian,male,74;42;16;78;57;72;77;15;37;10;8;97;45;1,74;45;97;77;8;72;78;15;57;10;37;16;42,none
133,6435,Chanie,female,26,none
134,9283,Star,female,65;63;19;54;22;71;55;40;51;98;48;0;11;74;34;87;83;37;92;91;45;8;61;86;49,45;34;86;37;48;83;51;74;22;87;63;98;55;0;8;91;71;40;65,none
135,5488,Brien,male,38;55;50;9;15;4;64;17;19;44;0;25;10;97,38;64;17;0;50;15;10;19;55;44;9,none
136,2255,Jayme,male,87;43;61;90;55;75;33;50;78;15;68;18;4;27;24;19;65;81;26,81;65;18;19,none
137,9984,Myrta,female,83;7;31;65;49;95;76;9;70;47;38;74;43;16;48;15;40;58;39;89;71,39;38;15;58,none
138,9415,Litha,female,56;93;91;9,56;91,none
139,4331,Savon,male,85;66;17;97;35;87;11;22;53;40;68;25;95;90;96;16;43;60;47,25;90;68;85;16;40;35;96;97;22;17,none
140,2101,Malcom,male,46;23;50,23,none
141,3491,Kate,female,58;95;8;15;46;80;24;94;25;31;70;88;27;3;50;9,25;46;94;95;3;27;88;58;80;24;8;50,none
142,8053,Avery,male,28;50;93;53;51;91;66;95;77;58;29;0;25;18;83,none
143,9545,Yareli,female,36;48;64;59;44;31;63;89;92,36,none
144,9950,Erwin,male,94;1;7;56;33;2;58;26;91;48;99;73;60;64;16;97;54;78;40,58;48;16;56;73;7;26;60,none
145,5781,Gwendolyn,female,96;77;10;89;79;92;40;6;24;37;52;56;70;0;53;44;61;73;87,0;56;96,none
146,1002,Gayle,male,57;74;46;13;68;22;15;28,none
147,3019,Brody,male,74;51;5;0;87;16;60,87;0;5,none
148,8695,Andy,male,27;55,none
149,9002,Geneva,female,13;20;78;35;58;24;27;85;87;53;12;48;59;18;40;55;54;36;94;30;74;88;63;14;66,24,none
150,1327,Ieshia,female,89;22;98;29;25;74;91;32;83;77;67;10;69;87;38;97;48;20;72;6;26;24,74;25;83;10;87;32,none
151,5932,Gracia,female,92;34;36;93;73;32;45;39;68;63;10;11;91;67;52;58;21;26;61;69;1;47;37;19,67;61;21;52;63;45;34,none
152,5954,Danette,female,76;30;54;16;5;70;96;14;92;89;22;0;50;11;63;39;26;51,63;70;30;89;96;5;16;26;11;76,none
153,8990,Reino,male,85;75;51;61;34;83;65;72;87;28;15;66;79;55;24;47;71;54;64;73;40;39,none
154,8643,Alvah,male,29;57;58;33;16;20;47;13;43;97;71;92;18;77;14;91;84;37;27;4;49;94,20;49;58;29,none
155,1706,Laddie,male,12;52;81;10;64;23;73;88;0;48;58;82;28;55;68;1;8;40;97;20,48;97,none
156,3343,Diamond,male,93;43;84;60;25,none
157,9372,Cristi,female,81;72;26;83;51;50;46;78;75;74;34;18;39;38;68,46;75,none
158,9073,Cris,male,5;96;35;62;67;63;9;61;13;26;19;48;31;74;81;28;16;93,28;81;31;61;35;16;96;63;19;62;48;5;26;13;67;74;9,none
159,7800,Karel,female,58;31;4;17;66;18;88;41,58;4;66;17;31;88;18,none
160,8818,Tiney,female,4;58;45;69;60;81;0;24;55;32;47;82;31;85;13;44;80;15;61;11,85;0;47;45;44;60;58;81,none
161,5464,Gael,male,25;1;41;93,1,none
162,8361,Kieth,male,45;37;14;56;70;8;46;89;78;52;53;34;38;58;48;72;26;80;82;73;92;79;23;7;33,52;89;48;79;8;53;70;92;23;80;78;73;82;56;26;7;58;37;45,none
163,7461,Romona,female,85;16;18;94;90;47;84;35;25;17;28;66;83;22;0;39;82;11;62,83;66;82;16;18;25;94;90;22;84;17,none
164,2760,Gilman,male,60;12;44;50;83;8;58;10;88;86;24;9;61;23;17;56;31;18,none
165,5756,Leafy,female,56;46;89;17;37;12,17;56;37;46;89,none
166,6345,Alyssa,female,9;2;52;61;67;57;33,52;2;61;57,none
167,2176,Michial,male,6;78;0;66;62;83;32;71;19;13;43;59;15,none
168,3910,Jerrica,female,54;22;43;99;33;63;66;97;3;88;95;69;61;71;2;65;14;93;10;51;11;23;18;34,43;93;18;69;97;3;51;71;2;14;33;61;23;99;22;66;88;54;11,none
169,4620,Vashon,male,58;50;14;15;64;60;63;44;27;25,60;15;64;50;14;58;44,none
170,7906,Vinie,female,28;27;19,none
171,6230,Leisa,female,37;63;44;72;59;77;57;88;76;97;49,37;63;77;88,none
172,1785,Penni,female,94;58;8;95;38;82;49;41;61;40;86;33;76;51;71;18;9;25;42,33;86;41;8;25;18;9;95;51;71;94;76;58;38;40;61;82,none
173,6860,Harriet,female,21;25;65;89;50;55;18;45;73;96;28;54;4,none
174,2612,Lynwood,male,50;61,none
175,5674,Texas,female,33;63;4,63,none
176,6466,Josette,female,67;39;64;1,39;64;67,none
177,5157,Elvera,female,73;5;4;67;1;40,4;73,none
178,7055,Racheal,female,53;24;31;74;99,31;53,none
179,2468,Betsey,female,18;86;36;48;85;33;32;20;11;10;14;72;13;76;23;66,72;18;23;36;13;14;48;20;76;11;33;10;32;85,none
180,7441,Duff,male,94;38;55;83;17;2,17;38;55,none
181,2544,Letitia,female,82;77;39;60;46;36;85,39;82,none
182,5124,Caren,female,45;89;31;27;78;76;51;71,78,none
183,9412,Esperanza,female,6;12;85;82;68;44;47;11;29;15;13;64;51;78;24;35,47;44;68;29,none
184,9871,Bert,male,52;1;79;27;86;37;90;18;15;71;87;76;75;48;51;98;38;82;21;70;88,1;87;38;76;75;18;71;70;51;27;21;15,none
185,4325,Lanette,female,83;87;51;75;84;37;66;22;95;79;73;72;32;35;57;24;71;48;4;52,32;79,none
186,1237,Jaheem,male,0;91;71;33;31;81,31,none
187,7026,Miranda,female,52;6;59;32;56;61;98;41;88;22;9;79;86;36;53;46;28;7;23;42;39;97;35;78,9;36;88;59;53;52;7;28;42;97;23;86,none
188,1063,Annabelle,female,18;65;0;91;13;22;96;75;80;1;20;48;59,20;80;48;65;1;96;91;0;18;22;13,none
189,5193,Christiana,female,80;46;89;38;37;44;83,44;80;89;46,none
190,2016,Joaquin,male,3;53;57;74;37;48;0;88;25;2;19;41;23,19;74,none
191,4802,Raynard,male,89,none
192,9639,Josefa,female,25;74;48;66;14;26;19;57;12;2;51;36;32;68;63;92;44;18;30;84;7;70,30,none
193,7879,Berkley,male,38;27;53;18;31;28;85;65;74;43;69;52;60;55,27;18;53;69;60;85;65;52;43;74;31;28;38,none
194,3103,Kate,female,94;55;47;20;41;42;18;72;68;95;80;84;16,47;20;84;80;41;18;94;72;55,none
195,2139,Emelie,female,99;88;3,88;99,none
196,5458,Alois,male,88;92;50,88;92,none
197,7044,Rosena,female,86;47;14;49;87;57,none
198,7531,Merrie,female,82;34;58;33;83;2,34;83;33,none
199,8607,Janessa,female,54,none
200,4778,Geo,male,32;37;46;51;6;78;93;26,93;32;37;51;46,none
201,8504,Conor,male,73;70;89;15;85;61;97;21;11;46;13;3,85;70;89;15;11;21;46;13;73;97,none
202,2048,Dedra,female,69;8;34;56;73;5;19;4;62,8;5;73,none
203,2001,Queenie,female,59;28;83;79;71;73;89;24;37;81;54;41;50;42;60,50;79;71;41;81;37,none
204,2645,Jamil,male,98;69;99;0;51,99;98;69,none
205,2479,Wayland,male,23;98;86;29;1;49;18;14;58;8;41,8;1;18;49;98;58;29,none
206,5567,Rubin,male,97;49;26;48;34;95;53;22;84;76;42;0;90;70;83;52;19;5;50;45;25;89;44,53;5;34;84;49;90;95;48;42;70;83;25;50;19;97;45;52;76;22;89,none
207,9878,Jerrica,female,3;15;41;77;99;27;13;34;66;36;40;18;90;79;84;7;91;82;54;0;37;59;83,34;7;36;41;13;0;84,none
208,7099,Sky,female,1;66;37;76,1,none
209,4789,Oralia,female,88;61;45;84;93;85;2;42;92;6;32;55;33;38;7;15;47;71;0;18;44;59;94;17,2;84;61;44;55;33;15;71;88;59;38;32;93;0;7;47,none
210,8386,Brian,male,43;35;94;84;5;93;29;75;21;50;58;41;57;3;71;90;97;60;68,75;71;5;97;43;94;84;57;3;58;35,none
211,9472,Emilia,female,13;41;22;7;16;93;58;73,16;22;58;41;13;93,none
212,7997,Antone,male,74;24;10;13;44;72;95;7;48;66;15;14,48;15,none
213,1421,Knox,male,34;93;78;89;83;90;52;59;91;36;32;71;23;7;73;35;54;12;30,91;32;83;35;34;52;23;54,none
214,4786,Taliyah,female,38;22;2;89;73;54;11;14;87;84;23;0,22;54;11,none
215,8418,Bryant,male,23;29;58;95;9;66;32;50;62;73;65;6;75;48;55;14;0;11;77;52;13;38,50;75;9;65,none
216,2775,Eber,male,3;42;57;27;39;76;93;24;15;1;28;22;41;67;33;77;83;9;74;78,67;57;42;41;22;15;76;83;3;1;28;77,none
217,5572,Gil,male,63;6;46;32;73;34;30;14,32;34;30;6;63,none
218,1316,Stephan,male,39;62;67;35,39,none
219,6973,Malachi,male,93;10;43;63;90;28;7;55;81;23;27;71;68;99,none
220,7874,Myra,female,65,none
221,1639,Zina,female,30;25;24;70;27;63;71;44;9;90;33;42;60;97,71;63;90;42;44;25;27,none
222,9097,Darrius,male,56;28;32;59;57;76;80;31;38;94;25,57;28;94;38;76;56;80;59;32,none
223,7701,Alonza,male,28,none
224,4042,Kasie,female,93;66;61;11;60;15;3;22;69;72;78;85;38;43;31;26;76;71,93;61;43;78,none
225,3331,Rigoberto,male,89;1;82;40;99;51;4;21;18;37;98;39;84;67;2;97;63;53;10;44;74;91;7,40;89;10;74;63;99;44,none
226,1866,Llewellyn,male,59;80;97;5;37;12;16;55,59;37;5;16;12;80,none
227,3470,Amin,male,2;97;10;90;48;14;98;77;5;58;61;18;88;22;12;13;55;86;75;99;3;7;84,12;5;86;90;22,none
228,7678,Georgene,female,48;67;96;3;52;31;16;93;4;84;71;99;68;64;36;76;39;90;89;17;10;53,71;67;96;89;31;84;90;39;17;16;4;36;3;99;10;93;64;76;68,none
229,7257,Theodis,male,15;86;92;24,86,none
230,2885,Richelle,female,48,none
231,2002,Mildred,male,19;88;21,19,none
232,7269,Nylah,female,10;1;53;15;21;67;41;83;39;94;59;87,10,none
233,2934,Dave,male,3;86;78;16;45;66;43;76;46;82;75;6,75;76,none
234,3284,Brielle,female,16;96;0;20;92;24;75,24;92;96;16,none
235,3789,Alphonse,male,75;1;45;68;16;39;64;55;6;99;33;15;42;61;27;56,61;68;27;6;75;42;99;16,none
236,3206,Amberly,female,17;75;93;37;4;99;61;67;72;76;10;56;66;24;96;6;78;30;48;86;43;9;68,86;99;61;6;17;37;93;30;72;76;67;9;4;56;75;96;66;43;24;48,none
237,9203,Fitzhugh,male,45;93;66;87;65;91;22;74;79;1;92;84;86;43;95;63;0;38;7,79;45;74;92;87;0;95;63;1;65;84;93;91;66,none
238,8452,Latrina,female,65;14;33;42;48;70;3;92;10;6;78;61;15;99;34;28;51;63;88,92;10,none
239,8114,Sidney,male,49;85;76;73;5;91;41;98;90;63;66;1;47;52;61;19;51;88;9,52;5;88;98;63;91;90;76;47;73;1;85;51;19;41;66;61;49,none
240,5027,Debroah,female,56;69;85;36;24;93,85,none
241,2043,Dock,male,60;66;41;6;51;5;98;54;21;13;9;88;89;44;86;38;77;74;64,none
242,3321,Jemal,male,1;60;19;93;48;36;95;29;85;32,29;36;85;60;93;48;19;95;1,none
243,9532,Vallie,female,54;36,54,none
244,4124,Easton,male,42;92;64;81;48;19;70;49;59;53;7;3,49;7;70,none
245,5805,Kathrine,female,91;56;65;90;96,none
246,1694,Kamora,female,72;91;78;38;97,72;91,none
247,3316,Charlton,male,61;36;7;81;82;43;14;26;62;8;46;48;18;95;0;51;87;90;2;50;97;32,62;26;50;87;61;36;18;14;97;0;43;51;81;95;48;82;46;2;8,none
248,5813,Raoul,male,83;42;64;33;15;89;96;50;35;2;66;36;97;82;6;60;25;44;11;31;87;27;69;4;55,4;83;97;36;25;69;64,none
249,4514,Lawson,male,49;10;53;71;86;3;97;42;83;85;19;95;15;51;84;23;98,3;95;83;71;42;15;97,none
250,7928,Tegan,male,11;2;32;24;17;77;41;23;94;62;0;73;83,62,none
251,6429,Candis,female,75;5;25;14;93;59;23;26;87;86;99;49;30;56,87;5;93;30;49;86;75;25;14,none
252,5422,Evert,male,23;10;48;69;76;6;19;98;57;81;67;35;16;62;43;27;54;59;97;45;83;90;71,none
253,9163,Ami,female,23;35;83;25;0;71;8;2,35;71;8;83;0;25,none
254,2054,Lannie,male,6;83;49;28;5;67;76,49;83;28;6;67,none
255,9005,Roxann,female,2;84;12;83;23;17;15;32;82;40;28,17;15;23;12;84;32;83;82,none
256,2023,Susana,female,80;39;25;45;76;2;4;7;64;52;24;85;16;36;1;74;34;15;26;44;70;86;77,86;25;39;34;70;16;26;1;85;74;45;7;36;24;4;52;15;76;64;80,none
257,9819,Edmund,male,39;64;60;67;41;75;85;79;89;15;8;52;63;61;3;80;33,75;39;15;80;3;67;61;52;79;63;64,none
258,2368,Orland,male,51;81;27;95;34;80;8;5,95;81;80;8;27,none
259,9932,Clarabelle,female,59;48;41;88;9;37;96;42;14;65;58;83;6;75;17;70;1;19;49;44;95;4;29,19;44;14;41;83;4;96;70;49;17;37;48,none
260,8940,Arvilla,female,8;71;98;4;88,4;98;71;8,none
261,6669,Jerrilyn,female,38;10;15;44;96;45;93;39;65;33;29;2;84;52,33;44;65;93;2;29;96;15,none
262,5684,Helaine,female,5;62;60;24;55;38;27;76;23;86;98;73;68;81;1;87;2;74;53,1;98;74;87;23,none
263,8239,Jodi,female,75;87;14;61;35;21;63;9;32;0;17;23,87;21;0,none
264,9658,Juanita,female,12;13;35;51;47;69;55;36;83;50;37;10;30;20;64,50,none
265,9270,Tabetha,female,15;87,15,none
266,2828,Johnnie,male,16;53;76;30;81;73;44;68;59;46;94;57;14;42;66;39;1;2;35;10;5;31;75;41,76;42;2;73;31,none
267,9237,Fred,male,19;31,19,none
268,2416,Harden,male,16;52;76;40;11;84;99;7;8;28;17;39;36;38;21;83;24;6;34;89,28,none
269,1494,Elsie,male,69;3;70;47;7;2;50;24;36;28;64;87;8;17;19,64;87;7;17;36;28;47;2,none
270,8316,Claudius,male,51;94;27;28;66;26;76;36;78;83;86;20;32;62;30;72;0;35;64;88;25;53,86;76;94;28;62,none
271,8608,Shani,female,63;12;91;15;85;99;80;17;81;9;13;72;59;73;46;50;88;10;74;98,99;63;10;74;12;59;81;46;13;80;73;15;88;17;50;91;9,none
272,1835,Caro,female,60,none
273,7929,Cammie,female,74;24;12;41;77;75;85;34;68;69;63,12;75;68;41,none
274,2471,Tamica,female,10;53;83;50;5;26;30;62;73;13;33;42;25;96;1;51;84;0;99;27;35;77;90,30;73;26;77;27;96;5;84;42;33;83;50,none
275,2665,Leola,female,81;55;74;90;65;11;97;71;51;10;12,11;90;71,none
276,8386,Verner,male,35;43;62,43,none
277,9241,Norma,female,61;62;84;95;10;75,84;10;61;62;95,none
278,5579,Cornelius,male,70;0;16;22;62;15;49;99;73;52;92,49;52,none
279,3136,Jerrilyn,female,87;49;34;83;39;29,49;39;87;83,none
280,9826,Sonia,female,49;64;81;45;73;92;48;40;90;59;57;54;31;72;91;26;99;68;97;79;47;0,99;54;68;49;57;26;73;47;59;97;91;64;45,none
281,8793,Roel,male,99;3;67;49;69;9;88;33;90;10;20;72;95;29;81;56;96;30;58;26;82;25;19,3;72;33;49;58;9;67;96;90;26;69;82,none
